guide_id,category_id,category_key,authority,link,short_desc
1,1,Phishing,Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,"Report emails or SMS pretending to be myGov, Centrelink or ATO. Includes fake tax refund or account suspension notices. Use ATO link to check if it’s a scam."
2,2,Identity theft,ACSC(ReportCyber),https://www.cyber.gov.au/report-and-recover/report,"Report stolen identity details such as Medicare, driver’s licence or bank info. The ACSC will guide you through recovery and protection steps."
3,3,Hacking,Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,"Report hacking attempts, such as email or social media accounts taken over, or suspicious software installed. Helps track scam trends nationally."
4,4,Remote access scams,ACSC(ReportCyber),https://www.cyber.gov.au/report-and-recover/report,"If someone tricked you into installing remote-control software (e.g., pretending to be Microsoft or Telstra), report here to get help recovering"
5,5,Overpayment scams,Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,"For scams where someone ‘accidentally’ overpays and asks you to refund the extra money, report to Scamwatch to prevent repeat targeting"
6,6,Mobile premium services,Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,Report unexpected charges from SMS subscriptions or fake competitions that add costs to your phone bill.
7,7,Health and medical products,Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,"Report fake health cures, COVID-19 treatments, or unsafe medical devices sold online."
8,8,Classified scams,Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,"Report scams on buy/sell platforms (like Gumtree or Facebook Marketplace), such as fake sellers or buyers requesting upfront payments"
9,9,Online shopping scams,Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,"Report fake online stores, non-delivery of goods, or counterfeit products bought through websites or ads."
10,10,False billing,Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,"Report fake invoices, advertising renewals, or domain name bills sent to trick businesses and individuals into paying."
11,11,"Threats to life, arrest or other",Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,"Report threatening calls or messages pretending to be police, tax office or other government demanding money or arrest"
12,12,Investment scams,ACSC(ReportCyber),https://www.cyber.gov.au/report-and-recover/report,"Report fake investment opportunities, crypto schemes, or financial services offering ‘guaranteed’ returns"
13,13,Dating and romance scams,Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,"Report fake online partners who build trust and then ask for money, gifts, or personal details"
14,14,Fake charity scams,Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,"Report people pretending to raise money for disasters, medical causes or charities without approva"
15,15,Unexpected prize & lottery scams,Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,Report fake lottery or prize messages that ask you to pay fees or share bank details before collecting winnings
16,16,Rebate scams,Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,"Report fake refund offers, like tax rebates, energy bill discounts, or bank overpayments requiring you to hand over money first."
17,17,Jobs and employment scams,Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,"Report fake job ads, work-from-home offers, or recruiters who ask for upfront fees, training payments or reshipping tasks"
18,18,Travel prize scams,Scamwatch (National Anti-Scam Centre),https://www.scamwatch.gov.au/report-a-scam,"“Report scams offering free or discounted holidays that require hidden fees, card details, or fake travel vouchers.”"
